DATE,DAX30,FTSE100,SP500,
12/31/2004,4256.08,4814.30,1211.92,
1/3/2005,4291.53,4814.30,1202.08,
1/4/2005,4290.50,4846.95,1188.05,
1/5/2005,4258.24,4806.04,1183.74,
1/6/2005,4300.94,4824.25,1187.89,
1/7/2005,4316.40,4854.09,1186.19,
1/10/2005,4307.37,4840.70,1190.25,
1/11/2005,4258.01,4818.72,1182.99,
1/12/2005,4208.82,4783.58,1187.70,
1/13/2005,4212.14,4800.31,1177.45,
1/14/2005,4232.36,4820.78,1184.52,
1/17/2005,4245.51,4846.66,1184.52,
1/18/2005,4250.71,4823.90,1195.98,
1/19/2005,4245.55,4818.34,1184.63,
1/20/2005,4220.43,4800.83,1175.41,
1/21/2005,4213.70,4803.26,1167.87,
1/24/2005,4201.89,4812.52,1163.75,
1/25/2005,4233.95,4843.20,1168.41,
1/26/2005,4214.12,4847.10,1174.07,
1/27/2005,4216.41,4853.38,1174.55,
1/28/2005,4201.81,4832.84,1171.36,
1/31/2005,4254.85,4852.31,1181.27,
2/1/2005,4279.97,4906.21,1189.41,
2/2/2005,4296.31,4916.24,1193.19,
2/3/2005,4281.64,4908.30,1189.89,
2/4/2005,4339.28,4941.50,1203.03,
2/7/2005,4366.35,4979.82,1201.72,
2/8/2005,4371.39,4995.46,1202.30,
2/9/2005,4353.15,4990.42,1191.99,
2/10/2005,4342.01,4999.99,1197.01,
2/11/2005,4387.80,5044.19,1205.30,
2/14/2005,4386.40,5041.80,1206.14,
2/15/2005,4402.03,5058.88,1210.12,
2/16/2005,4368.77,5053.22,1210.34,
2/17/2005,4369.68,5057.41,1200.75,
2/18/2005,4359.47,5057.16,1201.59,
2/21/2005,4353.34,5060.79,1201.59,
2/22/2005,4323.21,5032.85,1184.16,
2/23/2005,4310.66,4988.45,1190.80,
2/24/2005,4304.29,4972.05,1200.20,
2/25/2005,4348.64,5006.77,1211.37,
2/28/2005,4350.49,4968.50,1203.60,
3/1/2005,4383.62,5000.47,1210.41,
3/2/2005,4393.43,4992.82,1210.08,
3/3/2005,4373.27,5014.79,1210.47,
3/4/2005,4423.52,5036.27,1222.12,
3/7/2005,4428.09,5027.19,1225.31,
3/8/2005,4396.50,5010.92,1219.43,
3/9/2005,4375.60,4996.05,1207.01,
3/10/2005,4337.68,4962.06,1209.25,
3/11/2005,4360.49,4982.05,1200.08,
3/14/2005,4367.30,4975.02,1206.83,
3/15/2005,4387.69,5000.24,1197.75,
3/16/2005,4309.11,4937.62,1188.07,
3/17/2005,4315.92,4922.12,1190.21,
3/18/2005,4327.18,4923.30,1189.65,
3/21/2005,4296.36,4933.47,1183.78,
3/22/2005,4320.69,4937.26,1171.71,
3/23/2005,4317.20,4910.44,1172.53,
3/24/2005,4343.60,4922.50,1171.42,
3/25/2005,4343.60,4922.50,1171.42,
3/28/2005,4343.60,4922.50,1174.28,
3/29/2005,4351.89,4918.96,1165.36,
3/30/2005,4347.52,4900.74,1181.41,
3/31/2005,4348.77,4894.37,1180.59,
4/1/2005,4373.53,4914.03,1172.92,
4/4/2005,4341.39,4896.74,1176.12,
4/5/2005,4362.61,4942.89,1181.39,
4/6/2005,4379.18,4947.42,1184.07,
